| [task no] | [person 1] | [person 2] | [assoc_code] | [assoc_chn] | [positive/negative relationship] | [reasoning] |
| -- | -- | -- | -- | -- | -- | -- |
| 36 | 上官均 | 哲宗 | 0404 | 官場關係（上司） | positive | 上官均在哲宗时为御史，哲宗是上官均的上司 |
| 36 | 上官均 | 蔡确 | 0407 | 政治對抗 | negative | 上官均劾去蔡确，表示他们之间存在政治对抗 |
| 36 | 上官均 | 张璪 | 0407 | 政治對抗 | negative | 上官均劾去张璪，表示他们之间存在政治对抗 |
| 36 | 上官均 | 李清臣 | 0407 | 政治對抗 | negative | 上官均劾去李清臣，表示他们之间存在政治对抗 |
| 36 | 上官均 | 徽宗 | 0404 | 官場關係（上司） | positive | 徽宗立，上官均迁给事中，徽宗是上官均的上司 |
| 37 | 上官恢 | 胡安国 | 0406 | 薦舉保任 | positive | 胡安国荐举上官恢，表示他们之间存在薦舉保任的关系 |
| 37 | 上官恢 | 杨时 | 0406 | 薦舉保任 | positive | 胡安国与杨时并荐上官恢，表示上官恢与杨时之间存在薦舉保任的关系 |
| 39 | 上官基 | 赵汝愚 | 0602 | 軍事支持 | positive | 上官基独往殡殓赵汝愚，表示他们之间存在支持关系 |
| 39 | 上官基 | 钱鍪 | 0404 | 官場關係（上司） | positive | 郡守钱鍪上其治行，迁提点铸钱检讨官，钱鍪是上官基的上司 |
| 41 | 上官谧 | 朱熹 | 0202 | 師生關係 | positive | 上官谧从朱熹学，表示他们之间存在师生关系 |
