id,text,name,name_number
1,丁元，建炎时为统领。遇金人于十八里洲，被围，元大謼其徒，勉以毋得负国，一舟二百人皆斗死。,丁元,1
2,丁中，字汝明，号韦轩，新建人，锬子。性刚介。笃学力行。两中宝祐乡举，补太学上舍，与徐鹿卿、吴澄为友。聚书数万卷，训子弟必先德后艺。值宋运革，隐居不仕。,"丁中,徐鹿卿,吴澄",3
3,丁氏，张晋卿妻，郑州新郑人。靖康中，与晋卿避金兵于火隗山，金兵入山，为所得，挟之鞍上，丁自投于地，大骂不已，呼曰我死即死耳，誓不受辱，卒乃举梃纵击，遂死杖下。,张晋卿,1
4,丁石，字贯道(宋诗纪事作实道)，号菊山逸民，黄巖人，本从子。能诗。与戴复古友善。,丁石,1
5,丁本，按县志作丁木，字子植，号松山，黄巖人，世雄子。尝从叶适游，登嘉定四年进士。初授池州青阳令，累官至澧州通判，致政家居。为园曰松山林壑，日吟咏其间。四方来从学者甚众，曰松山先生。著有东屿稿，其子俨梓以传。,"丁木,叶适,方来,松山先生",4
6,丁罕，(？～999)，颍州人。应募补卫士，以战功累迁指挥使。淳化中为泽州团练使，知霸州，河决，以私钱募筑，民咸德之，擢领灵环路都部署，破李继迁有殊功。后拜密州观察使，徙贝州。咸平二年卒，子守德能世其家。,"丁罕,李继迁",2
7,丁克，字复之，崇安人。从学于朱熹。及殁，黄榦祭之曰：「贤哉复之，少有大志，蝉蜕于名利之场，鞭加于圣贤之地。视其貌若不胜衣，考其所操，凛然有君子之器。如复之者，可谓生死无愧矣。」,"丁克,朱熹,黄榦",3
8,丁袗，(873～963)，字德祥，金坛人，权六世祖。少值伪吴主杨行密讨黄巢乱，以勇应募，屡奏战功，为行密爱将，积功至都知兵马使。见功高诸将田頵、安仁义等皆以猜忌见戮，因以病乞归田里。干德元年卒，年九十一。,"丁袗,安仁",2
9,丁偃，吴县人。嘉祐四年与朱长文同登进士。其初试迩英延讲艺有诗云：「白虎前芳掩，金华旧事经，天心非不寝，垂意在苍生。」御前下第，后二十年方中选。,"丁偃,朱长文,金华,方中",4
10,丁开，字复见，长沙人。负气敢言。安抚向士璧被问，开诣阙上疏，言士璧有大功，军府小费，不宜推究。书奏，羁管扬州，岁馀卒。,"丁开,向士璧",2
11,丁尧，字复之，崇安人。为人笃厚慈良，深有志于为己之学，从朱熹游，而与蔡元定友善。淳熙十二年十一月卒，熹志其墓。,"丁尧,朱熹,蔡元定",3
12,丁贶，濠梁人。善画花竹翎毛。熙宁间神宗命贶与崔白、艾宣、葛守昌四人，共画垂拱御扆图，为一时之荣。,"神宗,崔白,艾宣,葛守昌",4
13,丁谓，(966～1037)，字谓之，后更字公言，长洲县人。登淳化三年进士。与孙何齐名，时号孙丁。累官同中书门下平章事，昭文馆大学士，封晋国公。真宗朝营造宫观奏祥异之事，多谓与王钦若发之。寇准为相，尤恶谓，谓媒蘖其过，竟罢准相。仁宗立，知谓前后欺罔，累贬崖州司户参军，徙道州。明道中授秘书监致仕。景祐四年卒于光州，年七十二。谓机敏有智谋，憸狡过人，善谈笑，尤喜为诗，图画博奕音律，无不洞晓。,"丁谓,孙何,平章,真宗,王钦若,寇准,仁宗",7
14,丁锬，字仲熊，号瓮天，新建人。以伊洛之学，倡于江右，弟子云集。与陆九渊为友。领淳熙、庆元、嘉定三举，官曲江县主簿。朱熹知南康军，聘掌白鹿书院不就，时与往复论学。著有春秋要编、易通释、书辨疑、王霸论、性理大旨诸书。,"丁锬,陆九渊,朱熹",3
15,丁隲，字公点，武进人。嘉祐二年进士。李定用事，辟为属，以疾辞。苏轼、曾肇、孔文仲交荐之，除太常博士，改右正言。元祐间士风险兢，有五鬼十物之号，隲疏请穷治。后出知处州。隲以经学倡后进，长于易春秋，为文自成一家。有文集二十卷。,"丁隲,李定,苏轼,曾肇,孔文仲",5
16,丁大全，(？～1263)，字子万，镇江人。登嘉熙二年进士，调萧山尉。大全为戚里婢婿，夤缘以取宠位，谄事内侍卢允昇、董宋臣，贪纵淫恶，宝祐间累官右丞相。开庆初罢判镇江府，言者相继论劾，景定二年窜贵州，移置新州，四年复徙海岛，将官毕迁护送，舟过滕州，挤于水而死。,丁大全,1
17,丁少微，亳州镇源人。为道士，隐华山潼谷，与陈溥齐名。志尚清洁，善服气，年百馀岁，康强无疾。太宗召赴阙，留数月，遣还山。,太宗,1
18,丁仲修，字敏之，温州人。方腊党俞道安陷乐清，将渡江，仲修帅乡兵御诸乐湾，力屈而死。,"丁仲修,方腊",2
19,丁希亮，(1156～1192)，字少詹，黄巖人，世雄堂弟。从叶适学，又从陈亮、吕祖谦游。名言奥义，贯穿殆尽。论事深眇，皆有方幅。有丁少詹集(按县志著梅巖文集数十卷)。卒于绍熙三年，年四十七(按墓志作绍兴三年卒，以叶适生平推考之，应是绍熙之误)。,"丁希亮,叶适,陈亮,吕祖谦,丁少詹",5
20,丁伯桂，(1171～1237)，字元晖(辉)，莆田人。嘉泰二年进士。端平中与李宗勉同除监察御史，鲠论劘切。迁中书舍人，韩休除节钺，伯桂封还词头。嘉熙元年拜给事中，方论驳余天锡召命而卒，年六十七。,"丁伯桂,李宗勉,余天锡",3
21,丁宗魏，字景舒，金坛人。嘉定四年进士。以从政郎再令扬子县，兼义武民兵军政。时金人寇仪真，人情汹汹，欲渡江以避。宗魏独不肯，曰：「守御之臣，职死封疆，敌至而遁，孰为之守？」卒不听。累官朝奉大夫，知广德军卒。,丁宗魏,1
22,丁国兵妻，东安县民丁国兵及妻为盗祝友所掠，妻泣曰：「丁氏族流亡已尽，乞存夫以续其祀。」贼遂释夫而害之。,祝友,1
23,丁娄明，字如晦，毘陵人。治尚书。绍兴八年黄公度榜同进士出身。历官著作佐郎，秘书少监，权工部侍郎。,"丁娄明,黄公度",2
24,丁逢吉，祥符人。以医术事真宗藩邸，好聚书，与儒者游。,"丁逢吉,真宗",2
25,丁兴宗，为千乘县丞，建炎间青州士兵赵晟聚众为乱，城陷死于难。诏赠二官，官其二子。,"丁兴宗,赵晟",2
